date,Nike,Adidas
2023-06-04,-5.16862649028252,-4.40217213784091
2023-06-11,-8.054457281640332,-3.4107131755991276
2023-06-18,-5.940288072998136,-5.419254213357341
2023-06-25,-7.826118864355948,-6.427795251115555
2023-07-02,-0.7119496557137595,-2.436336288873772
2023-07-09,-1.597780447071571,-4.444877326631985
2023-07-16,-6.483611238429383,-8.453418364390199
2023-07-23,-7.369442029787187,-6.461959402148416
2023-07-30,-4.255272821144999,-5.47050043990663
2023-08-06,0.8588963874971896,-3.4790414776648433
2023-08-13,1.973065596139378,-2.4875825154230604
2023-08-20,3.0872348047815663,-2.496123553181274
2023-08-27,8.201404013423762,2.4953354090605124
2023-09-03,8.31557322206595,4.486794371302295
2023-09-10,4.429742430708139,4.478253333544082
2023-09-17,0.5439116393503269,3.469712295785868
2023-09-24,0.6580808479925153,6.461171258027651
2023-10-01,2.772250056634711,4.4526302202694374
2023-10-08,2.886419265276899,4.444089182511224
2023-10-15,6.000588473919088,3.4355481447530067
2023-10-22,3.114757682561276,1.4270071069947932
2023-10-29,3.2289268912034643,0.41846606923657603
2023-11-05,1.3430960998456598,-0.5900749685216375
2023-11-12,10.457265308487848,3.401383993720149
2023-11-19,31.571434517130037,11.392842955961932
2023-11-26,17.685603725772225,1.3843019182037182
2023-12-03,24.799772934414413,5.375760880445505
2023-12-10,28.9139421430566,5.3672198426872875
2023-12-17,18.028111351698797,3.358678804929074
2023-12-24,11.142280560340986,1.3501377671708603
2023-12-31,6.256449768983174,-0.6584032705873568
2024-01-07,6.370618977625362,1.3330556916544296
2024-01-14,-0.5152118137324493,0.32451465389621603
2024-01-21,-3.401042605090254,0.3159736161379989
2024-01-28,-4.286873396448065,-0.6925674216202147
2024-02-04,-8.172704187805877,-3.7011084593784283
2024-02-11,-10.058534979163689,-3.7096494971366454
2024-02-18,-4.9443657705215,-0.718190534894859
2024-02-25,-8.830196561879305,-1.7267315726530725
2024-03-03,-6.716027353237116,-1.7352726104112897
2024-03-10,-7.601858144594928,1.2561863518304968
2024-03-17,-4.48768893595274,5.247645314072283
2024-03-24,-2.3735197273105513,7.239104276314066
2024-03-31,0.7406494813316442,10.230563238555852
2024-04-07,-2.1451813100261674,8.222022200797639
2024-04-14,-4.031012101383979,4.213481163039422
2024-04-21,-1.9168428927417906,6.204940125281208
2024-04-28,-2.8026736840996023,3.1963990875229946
2024-05-05,-7.688504475457407,0.1878580497647775
2024-05-12,-7.574335266815218,-0.8206829879934361
2024-05-19,-5.46016605817303,-0.8292240257516497
2024-05-26,-6.345996849530842,-1.8377650635098668
2024-06-02,-10.231827640888653,-0.8463061012680804
2024-06-09,-13.117658432246458,-2.854847139026294
2024-06-16,-15.00348922360427,-4.863388176784511
2024-06-23,-12.889320014962081,-5.871929214542725
2024-06-30,-9.775150806319893,-4.880470252300938
2024-07-07,-5.660981597677704,-3.8890112900591554
2024-07-14,-5.546812389035509,-2.897552327817369
2024-07-21,-7.43264318039332,-2.906093365575586
2024-07-28,-9.318473971751132,-5.9146344033338
2024-08-04,-4.204304763108944,-5.923175441092013
2024-08-11,-2.0901355544667553,-3.9317164788502303
2024-08-18,0.024033654175433128,2.059742483391556
2024-08-25,0.1382028628176286,0.0512014456333425
2024-09-01,5.252372071459817,5.042660407875125
2024-09-08,6.366541280102005,5.034119370116912
2024-09-15,4.480710488744194,8.025578332358698
2024-09-22,0.5948796973863821,4.017037294600481
2024-09-29,0.7090489060285776,4.0084962568422675
2024-10-06,1.823218114670766,2.999955219084054
2024-10-13,0.9373873233129544,2.991414181325837
2024-10-20,-1.9484434680448572,-0.01712685643237677
2024-10-27,-2.834274259402669,0.9743321058094097
2024-11-03,-3.7201050507604734,-2.0342089319488075
2024-11-10,4.394064157881715,-0.04274996970702105
2024-11-17,13.508233366523903,2.9487089925347654
2024-11-24,25.62240257516609,5.940167954776548
2024-12-01,14.73657178380828,2.9316269170183347
2024-12-08,13.850740992450476,0.9230858792601211
2024-12-15,11.964910201092664,-0.08545515849809604
2024-12-22,7.079079409734852,-1.0939961962563096
